Date/Time,Latitude (degree),Longitude (degree),Optical depth liquid (1),Error optical depth liquid (1),Optical depth ice (1), Error optical depth ice (1),Effective droplet radius liquid (um),Error effective droplet radius liquid (um),Effective droplet radius ice (um),Error effective droplet radius (um),Liquid water path (g m^(-2)),Error liquid water path (g m^(-2)),Ice water path (g m^(-2)),Error ice water path (g m^(-2)),Total water path (g m^(-2)),Error total water path (g m^(-2)),Averaging Kernel matrix [11],Averaging Kernel matrix [12],Averaging Kernel matrix [13],Averaging Kernel matrix [14],Averaging Kernel matrix [21],Averaging Kernel matrix [22],Averaging Kernel matrix [23],Averaging Kernel matrix [24],Averaging Kernel matrix[31],Averaging Kernel matrix [32],Averaging Kernel matrix [33],Averaging Kernel matrix [34],Averaging Kernel matrix [41],Averaging Kernel matrix [42],Averaging Kernel matrix [43],Averaging Kernel matrix [44]
2017-06-11T12:36:00,81.834541,11.147065,0.78517635,0.03265117,2.16064538,0.03556851,7.61293728,0.53858828,27.02277298,0.37133829,3.98499889,0.44763871,36.2887622,3.22133,40.27376109,3.66896871,0.7044723,-0.1616212,-0.07746136,-0.02197214,0.2502913,1.084353,0.1037719,0.02089332,-0.04534583,0.1542742,-0.2265904,-0.2731212,-0.3156954,0.2522946,0.1808299,0.4616695
2017-06-11T12:38:00,81.834425,11.147907,0.54179228,0.02638899,2.4430318,0.03167147,5.49178062,0.52873395,27.27907308,0.35141798,1.98360291,0.28759101,41.38734101,3.29760469,43.37094392,3.5851957,0.8656654,-0.0612779,-0.03408421,-0.01807946,0.1369646,1.021997,0.05864335,0.009129949,-0.003403477,-0.1597864,0.08245313,-0.007691775,-0.4061615,0.140336,-0.06032546,0.4316869
2017-06-11T12:58:00,81.833344,11.1564,1.6048194,0.08106088,5.15478379,0.08595491,7.62262411,0.71930423,42.83120798,0.96155936,8.15529004,1.18149998,135.73658685,18.30262625,143.89187689000002,19.48412623,0.3192324,-0.2574389,-0.106923,-0.005629672,0.3042363,0.849551,0.1407863,-0.002871036,-0.07328833,0.04382714,0.02915467,0.006134479,-0.0268924,0.2812884,0.0705211,-0.05443889
2017-06-11T13:02:00,81.833137,11.158133,0.52813753,0.05171706,4.0935541,0.05511002,4.79149258,0.58696199,38.62454604,0.81454417,1.68704472,0.3718657,97.40301008,11.58388452,99.0900548,11.95575022,1.000666,0.009160025,-0.01408064,-0.02519529,-0.1370503,0.9216853,0.05362556,0.01584391,-0.2895217,0.4708041,0.02955545,-0.06157707,-0.1521974,0.04658355,-0.09418372,0.1011315
2017-06-11T13:03:00,81.833078,11.158508,0.72113944,0.06758261,4.27372262,0.06426261,4.99697818,0.65452918,25.41959185,0.48867695,2.40234535,0.53981041,67.73555365,7.57716071,70.137899,8.11697112,0.7899217,-0.1509132,-0.005430883,-0.02763903,0.05782324,1.01019,0.05914725,0.01105461,-0.01050647,0.2328677,0.05224754,0.1490606,-0.2406703,0.0914103,0.01441548,0.5159953
2017-06-11T13:04:00,81.833036,11.158892,1.95170133,0.09887515,4.02244187,0.09989626,9.25921934,0.66327727,30.9063787,0.67533687,12.0474871,1.47335058,77.25322008,11.48410724,89.30070718,12.95745782,0.2478448,-0.3697729,-0.2117379,-0.03131977,0.4974206,1.090824,0.2324389,0.02256392,0.07836633,0.2369663,-0.00793544,-0.01173906,-0.0285991,0.1488521,-0.09682056,0.03638857
2017-06-11T13:06:00,81.832942,11.159692,1.77245429,0.12614585,4.19241328,0.12740801,7.93869307,0.66245175,32.33228636,0.71030601,9.38064706,1.45039911,84.42697179,12.24794162,93.80761885,13.69834073,0.4031371,-0.2788515,-0.1281123,-0.02195067,0.3182208,0.9796586,0.1776061,0.01046032,0.06733324,0.1843597,0.01721037,0.04041472,-0.242489,0.04468203,0.2600784,0.03802423
2017-06-11T13:09:00,81.832774,11.160959,4.19823971,0.17453636,1.04959556,0.19936547,13.41446745,0.53715923,30.53387762,0.84450447,37.54476666,3.06429034,19.86793532,6.96377133,57.41270198,10.02806167,0.2948637,-0.06356919,-0.3694863,-0.00155187,0.5481692,0.8539713,0.4025922,-0.001246198,0.3067876,0.5250301,-0.09570696,0.01153621,-0.05494709,-0.05859909,-0.1085897,0.007368881
2017-06-11T13:10:00,81.832731,11.161483,0.4774356,0.0463036,1.86182522,0.05370514,7.47344401,0.70808484,25.9422472,0.30759528,2.37872549,0.45607487,30.01387728,2.60255429,32.392602769999996,3.05862916,0.9999402,6.890244e-05,-0.0003049148,-4.649216e-06,6.890244e-05,0.9999195,0.0003680119,4.59138e-06,-0.0008469857,0.001022255,0.9949601,-3.714649e-05,-0.0002066318,0.0002040613,-0.0005943439,0.9999408
2017-06-11T13:11:00,81.832691,11.161858,2.18166464,0.12850117,2.59137523,0.14247279,9.74495212,0.64810902,22.66764294,0.46209132,14.17347832,1.77746285,36.93389942,6.04935175,51.107377740000004,7.8268146,0.4223257,-0.2336106,-0.1752194,-0.01391896,0.4820016,1.112894,0.2049757,0.003349497,-0.003035135,-0.2338874,0.1676189,0.1136668,0.1500516,0.1494656,0.5337493,0.3466917
