fname,date,tt,dtt,fi,dfi,rl,drl,ri,dri,lwp,dlwp,iwp,diwp,twp,dtwp,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012021818_cld2_0003_ch2_singleLayer.nc.nc,RESULTS/,5.890540026275671,0.16232721732979075,0.4409354190460611,0.4579681336427741,22.01610113537496,8.34350405437508,31.191299065812377,21.44335765287579,48.335503030205324,59.244761716037175,46.83479858469065,49.93477095917186,95.17030161489598,109.17953267520903,0.27197917467043864,230.0,0.4954871303534568,1,6000.0,6000.0
results_simulation_2012021818_cld2_0004_ch2_singleLayer.nc.nc,RESULTS/,0.790250300882856,0.005476676550842075,0.4863171937388225,0.05703615867284559,10.76592593037686,0.6436549260214195,43.88117494622226,0.5516351340900698,2.913532237612224,0.5178815784758402,9.722792162093917,1.2076891278498552,12.63632439970614,1.7255707063256953,0.775358366108941,230.0,0.4954871303534568,1,6000.0,6000.0
results_simulation_2012021818_cld2_0005_ch2_singleLayer.nc.nc,RESULTS/,2.7574377667677274,0.15130327500537902,1.0,0.10819201364835278,32.30792668620012,0.18848093626146586,32.30786002450141,0.3401706197581671,0.0,6.425674958193056,51.62697624763014,8.41845131335385,51.62697624763014,14.844126271546907,0.4461410446467539,230.0,0.4954871303534568,1,6000.0,6000.0
results_simulation_2012021818_cld2_0006_ch2_singleLayer.nc.nc,RESULTS/,0.4968125720833226,0.08279336429596638,1.0,0.3282461904987501,31.75563607662179,0.0,31.75563607353306,0.5160509066055395,0.0,3.452405732461114,9.138078963811422,4.522392938490292,9.138078963811422,7.974798670951406,0.8648212107808972,230.0,0.4954871303534568,0,6000.0,6000.0
results_simulation_2012021818_cld2_0007_ch2_singleLayer.nc.nc,RESULTS/,1.8574421401038228,0.018177923958845533,0.17498492900012774,0.10418979565329474,11.963767782120508,0.8741123843479748,39.772797681362675,1.5448323528002168,12.222326810013968,2.556155338926634,7.414364531701887,4.487234584232348,19.636691341715853,7.043389923158982,0.5450113039611839,230.0,0.4954871303534568,1,6000.0,6000.0
results_simulation_2012042117_cld1_0001_ch2_singleLayer.nc.nc,RESULTS/,0.061922111429836744,0.0020175959912408074,0.3780261171932447,0.018921699367311157,35.239549824882666,0.014444187370762165,44.50350838603489,0.014719988661406691,0.9048091795728117,0.05737820734432257,0.5994426237565037,0.04953599169088155,1.5042518033293155,0.10691419903520412,1.3969946637089956,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0002_ch2_singleLayer.nc.nc,RESULTS/,1.9626141497950471,0.031884228498531925,0.4787607970542321,0.20132835076405725,14.818963499718071,1.337215538007335,11.937012765529289,1.323555799046709,10.106448491803103,4.97977073933279,6.860381718863063,2.996381788716734,16.966830210666167,7.976152528049524,0.5037356789362659,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0003_ch2_singleLayer.nc.nc,RESULTS/,1.0867890023314195,0.18051790391803263,1.0,0.33027629764773025,30.016822495396408,0.0,30.0168069361404,1.1728858709246164,0.0,7.182838478551703,18.676098965044446,9.270415695514005,18.676098965044446,16.45325417406571,0.7862960934505959,254.3000030517578,0.5875962943842115,0,300.0,300.0
results_simulation_2012042117_cld1_0004_ch2_R000HBR.nc.nc,RESULTS/,0.7318862265539409,0.005424502999966427,0.00030794052054470883,0.04367209116114813,10.736112340722018,0.4843143653818662,11.751344487944882,0.8019512008068366,5.2367953810333985,0.5038215865581921,0.001627290026851788,0.23079415627757224,5.23842267106025,0.7346157428357644,1.0174874741721238,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0004_ch2_R000P.nc.nc,RESULTS/,0.7373888099541496,0.0463804998177434,0.0,0.1415836217810622,11.281879644395879,0.2087172674607936,11.281948096754117,0.19446741596656067,5.546087870018014,1.2366785368601692,0.0,0.729683323478103,5.546087870018014,1.9663618603382722,1.0298751990175412,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0004_ch2_R000SC.nc.nc,RESULTS/,0.8398226739438438,0.011391899731123315,0.4936599598235591,0.0264635437308333,4.5195907869540575,0.4869684539327753,52.93900431387737,0.6051381750617971,1.2812613426463286,0.22239514030857493,12.691921809885699,0.8525358200697315,13.973183152532027,1.0749309603783064,0.9763906514329047,254.3000030517578,0.5875962943842115,0,300.0,300.0
results_simulation_2012042117_cld1_0004_ch2_R050P.nc.nc,RESULTS/,0.7301729068743266,0.03740702602634622,0.0,0.11330350814460396,11.773712401334695,0.13996359054564445,11.774166614543336,0.054745141893869,5.731230539189909,1.0111133180681886,0.0,0.5981898705948657,5.731230539189909,1.6093031886630542,1.0326351252636898,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0004_ch2_R050SC.nc.nc,RESULTS/,0.7349752190788353,0.005789939814399988,0.0,0.014876775721888068,12.46749368622015,0.0304513657031465,12.468384469514904,0.000149600991425163,6.108865935595767,0.1539249199446377,0.0,0.08296112769688108,6.108865935595767,0.23688604764151877,1.0412583256090961,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0004_ch2_singleLayer.nc.nc,RESULTS/,0.8680915447082482,0.030226532429082704,0.5545704538616658,0.017231567712300062,2.9527838617431095,0.4028270126344246,33.75686934114427,0.686810891888219,0.7611757553766353,0.15979179492594886,9.38225300295643,0.6182110523358861,10.143428758333066,0.778002847261835,0.9633050857381531,254.3000030517578,0.5875962943842115,0,300.0,300.0
results_simulation_2012042117_cld1_0005_ch2_singleLayer.nc.nc,RESULTS/,5.550556972869345,0.18269763921465954,0.14148893094139856,0.47935898462677273,14.804902234746145,3.338470223661262,45.742403072746754,14.838983799183776,47.03235752679296,38.414791615764315,20.70273345849171,70.82152414926635,67.73509098528467,109.23631576503067,0.07268610027030603,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012042117_cld1_0006_ch2_singleLayer.nc.nc,RESULTS/,2.1855678981610214,0.020334688932703796,0.001249999492864297,0.1319754564510205,14.349059752451872,0.8980079259463157,55.5803735691368,2.3825310787130585,20.88109554946843,4.260323107548084,0.08764551773644959,9.254465001908383,20.96874106720488,13.514788109456466,0.4573639182283943,254.3000030517578,0.5875962943842115,1,300.0,300.0
results_simulation_2012051405_cld1_0001_ch2_singleLayer.nc.nc,RESULTS/,0.09499983837573744,0.01764622492858845,1.0,0.36385111309541673,26.928216951418516,0.0,26.928216944628932,0.4579770109162203,0.0,0.6205301860102889,1.4706443201707589,0.8082679573444257,1.4706443201707589,1.4287981433547146,1.54415537863874,268.1000061035156,1.0902769383881568,0,300.0,300.0
results_simulation_2012051405_cld1_0002_ch2_singleLayer.nc.nc,RESULTS/,0.16816878929925494,0.031567248501500667,1.0,0.3730010723427732,30.859403920148413,0.0,30.85940398145756,0.5012914480113849,0.0,1.290481407487897,2.994434027222754,1.6790176532530598,2.994434027222754,2.969499060740957,1.4743956750110576,268.1000061035156,1.0902769383881568,0,300.0,300.0
results_simulation_2012051405_cld1_0003_ch2_singleLayer.nc.nc,RESULTS/,3.4700691617724946,0.11467300148769688,0.8343672145856884,0.05515186761369852,4.055588447642638,3.115698894695162,31.42318101999372,3.399832737503565,1.5539858300379248,1.7626416259348372,52.64722151316931,5.219820150381098,54.20120734320724,6.982461776315935,0.23460249814865428,268.1000061035156,1.0902769383881568,1,300.0,300.0
results_simulation_2012051405_cld1_0004_ch2_singleLayer.nc.nc,RESULTS/,1.6049357509227935,0.04503459056348834,0.2982836444682526,0.053233727214150664,3.903237156735176,0.6626494545841829,11.070022956824092,0.8281386367997566,2.9305756097374007,0.8020734352068536,3.2888972140959636,0.6792469642245812,6.219472823833364,1.4813203994314348,0.8982725209421553,268.1000061035156,1.0902769383881568,1,300.0,300.0
results_simulation_2012051405_cld1_0005_ch2_singleLayer.nc.nc,RESULTS/,3.6096123751793923,0.06418613884800929,0.8509622342945256,0.07590490640735123,7.382599001790459,0.804237890126353,15.638072359554089,0.5367845118333552,2.6477374530608326,1.6840107375154232,28.422997591610894,3.0407229665484694,31.07073504467173,4.724733704063892,0.2202691978265116,268.1000061035156,1.0902769383881568,1,300.0,300.0
results_simulation_2012051405_cld1_0006_ch2_singleLayer.nc.nc,RESULTS/,4.166225533366391,0.10011747430309018,0.47890227402292074,0.4045428228958259,10.000558901001904,3.4363272508819094,19.561692721331,2.0767507696467664,14.474213262317921,16.558100310281766,22.67514851871141,19.699276361333972,37.14936178102933,36.25737667161574,0.16455571254132687,268.1000061035156,1.0902769383881568,0,300.0,300.0
results_simulation_2012052705_cld1_0001_ch2_liqTopped.nc.nc,RESULTS/,0.18337409083338208,0.023889512930325457,1.0,0.26002092723830944,43.16720863821857,0.4511337720897201,43.16720863821861,0.4258710240108818,0.0,1.3721733603851722,4.570260966714956,1.7837657569154441,4.570260966714956,3.1559391173006164,1.3266993653970636,262.3999938964844,0.7200422718718115,1,900.0,900.0
results_simulation_2012052705_cld1_0001_ch2_multiLayer.nc.nc,RESULTS/,0.17122832728385667,0.03179674603091246,1.0,0.36263448676016224,30.00050849179556,0.0,30.014849818231074,0.5766185775686352,0.0,1.2418869809555635,2.942238263980129,1.6133249419282512,2.942238263980129,2.8552119228838144,1.326393614054373,263.94000244140625,0.7200422718718115,0,500.0,900.0
results_simulation_2012052705_cld1_0001_ch2_singleLayer.nc.nc,RESULTS/,0.1725588634427225,0.0017937832468801946,0.9997813879615444,0.033424002685308735,30.006207644045,0.01645604791422182,30.002385740309485,0.01913067190505836,0.0007546250136280426,0.11538428546726144,2.962768374804859,0.12984780089366998,2.9635229998184873,0.2452320863609314,1.3261792399926466,263.20001220703125,0.7200422718718115,1,800.0,800.0
