fname,date,lat,lon,tl,dtl,dtl_res,ti,dti,dti_res,rl,drl,drl_res,ri,dri,dri_res,lwp,dlwp,dlwp_res,iwp,diwp,diwp_res,twp,dtwp,dtwp_res,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012021705_cld1_0003_ch2_R000HBR.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,2.649632995465944,0.08075149048847609,0.07408769749160925,2.4067543388061536,0.10642899180153031,0.09764623415903396,5.742504145691126,0.8668907072858321,0.795352953749448,21.06968966671787,2.4677066847544733,2.2640660284060306,10.143685640682119,1.840438660258774,1.6885615595240746,29.36670043514111,1.298640835816291,1.1914740992667923,39.51038607582323,3.139079496075065,2.8800356587908666,0.38461436967285667,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R000P.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,3.952142125677368,0.2493700922383641,0.21624913082144115,1.092030551477009,0.2659483492584281,0.23062548862338833,8.592884023944485,0.9389702804420754,0.8142576569233244,18.988955207381608,8.086481912947688,7.01244752079863,22.640199288060696,3.9025015211592127,3.3841771256729745,12.093231243743778,2.94515860523502,2.553987059140124,34.73343053180447,6.847660126394233,5.938164184813099,0.36475277217119595,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0003_ch2_R050P.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,2.5230598650036575,0.0900968336567077,0.06978849562560828,2.4831580179469723,0.10709950714167145,0.08295866993661967,6.714885337147767,1.1605710668700993,0.8989717566777269,19.053924848923266,3.1377395353664146,2.4304752226097164,11.294705128172723,2.355453457699528,1.8245208700156028,27.585030190835276,1.1897750968619356,0.921593032438661,38.879735319008,3.5452285545614632,2.7461139024542636,0.26587030030604025,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0006_ch2_singleLayer.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,2.028506204053015,0.07860006112732722,0.1010355331901834,1.8066077393236042,0.09034147104203294,0.11612839182314384,8.18966666972458,0.7588139130442711,0.9754085072829823,17.8853536155538,2.6093886088473544,3.354208197983477,11.075193099108336,1.4553113541232237,1.870713031423411,18.8401693409861,0.9421369112172258,1.2110589202823154,29.915362440094437,2.3974482653404494,3.0817719517057265,0.16120423725776645,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0007_ch2_singleLayer.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,2.1426386610212522,0.08527702547319974,0.19856394700112584,1.1322030069246065,0.10689898718130923,0.2489097703321555,5.590495251996898,0.5846545423643877,1.361343373784703,13.389837346018927,1.401339362656658,3.262959435945573,7.985607507456201,1.1529628212159775,2.6846251643491783,9.121531535828582,0.8612307965691215,2.0053394838382594,17.107139043284782,2.014193617785099,4.689964648187438,0.3218180644035798,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021817_cld1_0001_ch2_singleLayer.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,1.0423646194567546,0.08470896559303567,0.3228058176310868,0.5214183983600829,0.08063661633957941,0.30728705853353294,4.985787180750835,0.4287408923652275,1.633830059698162,21.14782418849183,2.948879979868524,11.237483616204884,3.4646721049038063,0.5794968079095004,2.2083251705674307,6.383823446324178,0.98725364781491,3.7621899731752375,9.848495551227984,1.5667504557244105,5.970515143742668,0.4295223158724421,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0002_ch2_singleLayer.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,1.0591903354578636,0.042065700839552876,0.1794951100431527,0.1979591351586237,0.06465855749009093,0.2758992400051202,7.063748565568058,0.7043463493185927,3.0054586743164187,27.15374254823604,0.8311151715201472,3.546383542724025,4.987902808502689,0.695452253318859,2.967507405031836,3.0894083582139755,1.0090808912765459,4.305766503522051,8.077311166716665,1.7045331445954048,7.273273908553887,0.4799562945688737,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0003_ch2_singleLayer.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,3.4067223794984076,0.12223404307730078,0.1110014508657346,2.6741029055520933,0.0646427152173398,0.058702428524658026,3.6748871862671093,0.3302119496456359,0.2998674066658213,14.038006874268412,0.8455195992218576,0.7678213031838229,8.34621361305873,1.0494245049773223,0.9529885430760997,22.403271074424215,0.5415755802458424,0.4918079583011377,30.749484687482944,1.5910000852231647,1.4447965013772375,0.1635729743588095,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0004_ch2_singleLayer.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.8080488680493157,0.20154348578649947,0.6932075801643784,0.4868988649279189,0.18929890807774538,0.6510924304214007,13.989882842647413,1.9963501436564393,6.866434044466597,18.174069404207103,4.97551433142555,17.11325095078676,7.536339330095857,2.9551454851090506,10.16420472620086,5.157450400161405,2.005146297859107,6.896688362763162,12.693789730257262,4.960291782968158,17.060893088964022,0.38747629652241716,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0005_ch2_R000HBR.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,2.094198814327394,0.03151374131433739,0.029859520078979657,2.2288311648002885,0.03966700730223397,0.0375848043302691,9.504350298680285,0.6177885685551634,0.585359573252081,45.73270251670412,2.345215464847102,2.2221102713144507,13.26933275096564,1.0621931496311312,1.006436441893865,58.74054386788855,1.0454345419840636,0.9905575281037815,72.0098766188542,2.107627691615195,1.9969939699976464,0.4182757080444851,255.10000610351562,-1.0,1,600.0,600.0
